StructureType,attributeName,Caption,Type,Default,Min,Max,StructureFileOnly,Description
structure,type,Type:Weir|Pump|Gate|GeneralStructure,weir|pump|gate|generalstructure,,,,TRUE,Type of structure
structure,id,Name,String,,,,FALSE,Name of the structure
structure,x,X,Double,,,,FALSE,X coordinate for a 1D structure
structure,y,Y,Double,,,,FALSE,Y coordinate for a 1D structure
structure,polylinefile,Polyline filepath,FileName,,,,TRUE,*.pli; Polyline geometry definition for 2D structure
weir,CrestLevel,Crest level,Steerable,,,,FALSE,Weir crest height (in [m])
weir,CrestWidth,Crest width,Double,NaN,,,FALSE,Weir crest width (in [m])
weir,lat_contr_coeff,Lateral contraction coefficient,Double,1,,,FALSE,Lateral contraction coefficient
pump,capacity,Capacity,Steerable,,,,FALSE,Pump capacity (in [m3/s])
gate,CrestLevel,Sill level,Steerable,,,,FALSE,Gate sill level (in [m])
gate,GateLowerEdgeLevel,Lower edge level,Steerable,,,,FALSE,Gate lower edge level (in [m])
gate,GateOpeningWidth,Opening width,Steerable,,,,FALSE,Gate opening width (in [m])
gate,GateHeight,Door height,Double,1,,,FALSE,Gate door height (in [m])
gate,GateOpeningHorizontalDirection,Horizontal opening direction:Symmetric|From Left|From Right,symmetric|from_left|from_right,symmetric,,,FALSE,Horizontal direction of the opening doors
gate,CrestWidth,Sill width,Double,NaN,,,FALSE,Gate sill width (in [m])
generalstructure,Upstream2Width,Width left 1,Double,NaN,,,FALSE,Width left side of structure (m)
generalstructure,Upstream1Width,Width left 2,Double,NaN,,,FALSE,Width structure left side (m)
generalstructure,CrestWidth,Width center,Double,NaN,,,FALSE,Width structure centre (m)
generalstructure,Downstream1Width,Width right 1,Double,NaN,,,FALSE,Width structure right side (m)
generalstructure,Downstream2Width,Width right 2,Double,NaN,,,FALSE,Width right side of structure (m)
generalstructure,Upstream2Level,Bed level left of structure,Double,,,,False,Bed level left side of structure (m AD)
generalstructure,Upstream1Level,Bed level left,Double,,,,FALSE,Bed level left side structure (m AD)
generalstructure,CrestLevel,Bed level center,Steerable,,,,FALSE,Bed level at centre of structure (m AD)
generalstructure,Downstream1Level,Bed level right,Double,,,,FALSE,Bed level right side structure (m AD)
generalstructure,Downstream2Level,Bed level right of structure,Double,,,,FALSE,Bed level right side of structure (m AD)
generalstructure,GateLowerEdgeLevel,Gate height,Steerable,,,,FALSE,Gate lower edge level (m AD)
generalstructure,pos_freegateflowcoeff,Postive free gate flow,Double,,,,FALSE,Positive free gate flow (-)
generalstructure,pos_drowngateflowcoeff,Postive drown gate flow,Double,,,,FALSE,Positive drowned gate flow (-)
generalstructure,pos_freeweirflowcoeff,Positive free weir flow,Double,,,,FALSE,Positive free weir flow (-)
generalstructure,pos_drownweirflowcoeff,Positive drown weir flow,Double,,,,FALSE,Positive drowned weir flow (-)
generalstructure,pos_contrcoeffreegate,Positvie flow contraction,Double,,,,FALSE,Positive flow contraction coefficient (-)
generalstructure,neg_freegateflowcoeff,Negative free gate flow,Double,,,,FALSE,Negative free gate flow (-)
generalstructure,neg_drowngateflowcoeff,Negative drown gate flow,Double,,,,FALSE,Negative drowned gate flow (-)
generalstructure,neg_freeweirflowcoeff,Negative free weir flow,Double,,,,FALSE,Negative free weir flow (-)
generalstructure,neg_drownweirflowcoeff,Negative drown weir flow,Double,,,,FALSE,Negative drowned weir flow (-)
generalstructure,neg_contrcoeffreegate,Negative flow contraction,Double,,,,FALSE,Negative flow contraction coefficient (-)
generalstructure,extraresistance,Extra resistance,Double,,,,FALSE,Extra resistance (-)
generalstructure,GateHeight,Gate door height,Double,,,,FALSE,Vertical gate door height (m)
generalstructure,GateOpeningHorizontalDirection,Horizontal opening direction:Symmetric|From Left|From Right,symmetric|from_left|from_right,symmetric,,,FALSE,Horizontal direction of the opening doors
generalstructure,GateOpeningWidth,Horizontal opening width,Steerable,,,,FALSE,Horizontal opening width between the doors (m)









